OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
3450,13-289446,20131216,BEDFORD RD btwn END & BORDEN AVE S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3451,14-001725,20140103,WESTHEIGHTS DR btwn HIGHLAND RD W & BLACKWELL DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3452,13-289487,20131216,KRUG ST btwn MELROSE AVE & DUMFRIES AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3453,13-286911,20131116,PARK ST btwn UNION BLVD & WATERLOO BOUNDARY,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3454,13-288976,20131215,BRADLEY DR btwn BRADLEY PL & VIEWMONT CLOSE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3455,13-295951,20131224,BELLEVIEW AVE btwn SUFFOLK AVE & KENWOOD DR,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
3456,14-021670,20140129,BRAMBLEWOOD ST btwn WESTMEADOW DR & VICTORIA ST S,04-At/near private drive,99-Other,01-Clear,01-Daylight,MIDBLOCK,
3457,13-240741,20131015,COUNTRY HILL DR btwn OLD COUNTRY DR & COACH HILL DR,04-At/near private drive,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,
3458,13-286184,20131211,TUERR DR btwn COUNTRYSIDE CRES & COUNTRYSIDE CRES,01-Non intersection,12-Off highway,03-Snow,01-Daylight,MIDBLOCK,
3459,13-286194,20131211,OLD CHICOPEE DR btwn DAIMLER DR & BANCROFT ST,01-Non intersection,11-Not on roadway - right side,03-Snow,01-Daylight,MIDBLOCK,
3460,14-021022,20140127,ROXBOROUGH AVE btwn FARNHAM AVE & MARLBOROUGH AVE,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
3461,14-016436,20140122,CRANBROOK ST btwn SOUTHRIDGE DR & STEEPLERIDGE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3462,13-002421,20131226,WESTMEADOW DR btwn BRAMBLEWOOD ST & WINDING MEADOW CRT,04-At/near private drive,02-Thru lane,01-Clear,05-Dusk,MIDBLOCK,
3463,13-285525,20131210,ROYAL ORCHARD DR btwn WINDY WOOD CRT & RED MAPLE PL,04-At/near private drive,11-Not on roadway - right side,03-Snow,05-Dusk,MIDBLOCK,
3464,13-277916,20131130,BELMONT AVE W btwn SPADINA RD W & FARNHAM AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3465,14-024411,20140201,ISABELLA ST btwn COMMONWEALTH CRES & COMMONWEALTH CRES,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
3466,14-027399,20140205,AUTUMN HILL CRES btwn BLUE SPRUCE CRT & WESTHEIGHTS DR,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
3467,14-006721,20140107,WATER ST N btwn WATER ST S & BELL LANE,01-Non intersection,09-Right shoulder,03-Snow,01-Daylight,MIDBLOCK,
3468,13-300067,20131231,QUEENS BLVD btwn KELLY DR & SILVERSPRING CRES,01-Non intersection,11-Not on roadway - right side,03-Snow,07-Dark,MIDBLOCK,
3469,13-295169,20131223,ONTARIO ST S btwn CHARLES ST W & JOSEPH ST,01-Non intersection,02-Thru lane,03-Snow,07-Dark,MIDBLOCK,
3470,13-299875,20131231,SIMS ESTATE DR btwn WILLIAM LEWIS ST & TREMAINE DR,04-At/near private drive,02-Thru lane,05-Drifting Snow,01-Daylight,MIDBLOCK,
3471,14-026145,20140201,JOSEPH SCHOERG CRES btwn JACOB GINGRICH DR & JOSEPH SCHOERG PL,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
3472,13-296367,20131225,THE COUNTRY WAY btwn SETTLERS DR & OLD COUNTRY DR,04-At/near private drive,02-Thru lane,03-Snow,07-Dark,MIDBLOCK,
3473,14-001011,20141225,SPRINGMOUNT DR btwn OLDFIELD DR & SPRINGMOUNT PL,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
3474,13-292477,20131220,FAIRWAY RD S btwn WABANAKI DR & WILSON AVE,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
3475,14-003522,20140106,ROSS AVE btwn PROSPECT AVE & SHANTZ LANE,04-At/near private drive,11-Not on roadway - right side,03-Snow,01-Daylight,MIDBLOCK,
3476,14-024361,20140201,FRANCIS ST S btwn CHARLES ST W & JOSEPH ST,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
3477,13-288297,20131214,SWEETBRIAR DR btwn STONYBROOK DR & DUNCAIRN AVE,01-Non intersection,09-Right shoulder,03-Snow,01-Daylight,MIDBLOCK,
3478,13-294550,20131222,HIGH ACRES CRES btwn BLACKWELL DR & BLACKWELL DR,01-Non intersection,02-Thru lane,03-Snow,07-Dark,MIDBLOCK,
3479,13-148383,20130628,KENNEDY AVE btwn PALMER AVE & KENT AVE,04-At/near private drive,09-Right shoulder,02-Rain,01-Daylight,MIDBLOCK,
3480,13-158577,20130709,MEADOWBROOK DR btwn MCGARRY DR & MEADOWLANE DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3481,13-157059,20130708,SETTLERS DR btwn SETTLERS CRT & THE COUNTRY WAY,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
3482,13-181136,20130805,BADEN CRT btwn WAGON ST & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3483,13-089501,20130415,OVERLEA DR btwn OVERLEA CRES & QUEENS BLVD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3484,13-112973,20130519,QUEEN ST S btwn HALLS LANE W & CHARLES ST W,01-Non intersection,10-Not on roadway - left side,01-Clear,"08-Dark, artificial",MIDBLOCK,
3485,13-132057,20130610,MARGARET AVE btwn BLUCHER ST & GUELPH ST,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
3486,13-146325,20130626,WOODHAVEN RD btwn BYRON AVE & GERARD AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3487,13-136115,20130615,UNION ST btwn EDWIN ST & OXFORD ST,01-Non intersection,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
3488,13-144807,20130624,CARWOOD AVE btwn CARWOOD AVE & CAYLEY CRT,04-At/near private drive,02-Thru lane,01-Clear,05-Dusk,MIDBLOCK,
3489,13-140807,20130620,OLDFIELD DR btwn EBYDALE DR & SHAFTSBURY DR,04-At/near private drive,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
3490,13-146934,20130627,ROSS AVE btwn SHANTZ LANE & WILFRED AVE,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
3491,13-191087,20130817,DELISLE AVE btwn MOORE AVE & DEKAY ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3492,13-174551,20130728,YELLOW BIRCH DR btwn DRIFTWOOD DR & CEDAR CREST ST,01-Non intersection,10-Not on roadway - left side,02-Rain,"08-Dark, artificial",MIDBLOCK,
3493,13-178805,20130802,SADDLEWOOD DR btwn TIMBER RIDGE CRT & THOMAS SLEE DR,04-At/near private drive,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
3494,13-184200,20130808,EVELYN CRES btwn DREGER AVE & CUL DE SAC,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3495,13-200078,20130828,CHERRY ST btwn STRANGE ST & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3496,13-170813,20130723,OTTERBEIN RD btwn FORWELL CRT & STANMORE AVE,01-Non intersection,12-Off highway,01-Clear,07-Dark,MIDBLOCK,
3497,13-156440,20130707,HILLCREST LANE btwn HILLCREST CRT & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
3498,13-199563,20130827,CHANDLER DR btwn MOWAT BLVD & CUL DE SAC,04-At/near private drive,10-Not on roadway - left side,02-Rain,"08-Dark, artificial",MIDBLOCK,
3499,14-033418,20140203,STOKE DR btwn LENNOX CRES & FISCHER HALLMAN RD,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
3500,14-029359,20140207,COUNTRYSIDE CRES btwn KESSELRING DR & KESSELRING DR,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3501,14-025882,20140203,KINGSWOOD DR btwn LUCERNE DR & ROBERTS CRES,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3502,14-039660,20140124,FORESTWOOD DR btwn GLEN LAKE CRES & MEADOWBROOK DR,04-At/near private drive,02-Thru lane,03-Snow,"08-Dark, artificial",MIDBLOCK,
3503,14-029326,20140207,HOWLAND DR btwn JASPER CRT & LAURENTIAN DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3504,14-030132,20140208,LANCASTER ST E btwn MANSION ST & CLARENCE PL,04-At/near private drive,02-Thru lane,01-Clear,"06-Dusk, artificial",MIDBLOCK,
3505,14-22456,20140130,WILSON AVE btwn FAIRLAWN RD & TRAYNOR AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3506,14-023295,20140131,GUELPH ST btwn CRESTWOOD AVE & FLOYD ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3507,14-037835,20140219,QUEENSTON DR btwn MONTCALM DR & QUEENSTON CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3508,14-073114,20140404,SUNRISE PL btwn SMETANA DR & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
3509,14-064531,20140324,FRANCIS ST N btwn END & WATER ST N,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3510,14-044524,20140222,HAZELGLEN DR btwn MARKWOOD DR & SHADELAND CRES,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3511,14-047616,20140301,JANINE ST btwn TREMAINE DR & EDGEWATER CRES,04-At/near private drive,02-Thru lane,04-Freezing Rain,07-Dark,MIDBLOCK,
3512,14-061421,20140321,BECHTEL DR btwn SABRINA CRES & SABRINA CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3513,14-073819,20140406,MONTCALM DR btwn BISHOP CRT & OTTAWA ST N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3514,14-032059,20140210,WAYNE DR btwn CONWAY DR & WREN CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3515,14-037376,20140218,NINTH AVE btwn GREENFIELD AVE & CAIT AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3516,14-115601,20140506,BANCROFT ST btwn VERONICA DR & OLD CHICOPEE DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3517,14-031578,20140210,SPADINA RD W btwn VANCAMP AVE & PATRICIA AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3518,14-066016,20140321,BRUCE ST btwn VICTORIA ST N & C_PKY WAT ONRAMP,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3519,14-034316,20140214,COURTLAND AVE E btwn BLOCK LINE RD & SHELLEY DR,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,MIDBLOCK,
3520,14-032121,20140210,MANITOULIN CRES btwn GRAND RIVER BLVD & GRAND RIVER BLVD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3521,14-058724,20140313,MT HOPE ST btwn YORK ST & EDEN AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3522,14-056197,20140314,TRELAWNEY ST btwn LYNNVALLEY CRES & GREENGABLE WAY,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3523,14-052776,20140306,BLACKWELL DR btwn WEST ACRES CRES & SPRUCEDALE CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3524,14-065358,20140326,EVENSTONE AVE btwn BANNOCKBURN RD & EVENSTONE CRT,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3525,14-074384,20140407,MOUNTAIN LAUREL CRES btwn BLUE LACE CRES & BRIDLEWREATH ST,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
3526,14-058391,20140317,JOSEPH ST btwn RICHMOND AVE & WATER ST S,04-At/near private drive,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
3527,14-030838,20140209,WENTWORTH AVE btwn CUL DE SAC & WEST LANSDOWNE,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
3528,14-057122,20140315,CONNAUGHT ST btwn CONNAUGHT PL & THIRD AVE,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
3529,14-055471,20140312,PATHFINDER CRES btwn PATHFINDER CRES & PATHFINDER CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3530,14-061023,20140304,CEDAR CREST ST btwn SUGAR MAPLE ST & SUGAR MAPLE ST,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
3531,14-048850,20140305,OLD MILL RD btwn MILL PARK DR & MILL PARK DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3532,14-219398,20140920,GOLDEN MEADOW DR btwn GOLDEN MEADOW CRES & GOLDEN MEADOW CRES,04-At/near private drive,11-Not on roadway - right side,01-Clear,07-Dark,MIDBLOCK,
3533,14-038051,20140219,HOLLYRIDGE CRES btwn HEATHERWOOD PL & HIDDEN CREEK DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3534,14-038229,20140219,COLTON CIR btwn COLTON CIR & AMELIA ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3535,14-048842,20140305,BLUERIDGE AVE btwn QUEENS BLVD & LAKESIDE DR,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3536,14-036652,20140210,DEKAY ST btwn BRIAR AVE & EMMA AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3537,14-276011,20141205,QUEENS BLVD btwn PATRICIA AVE & NORTH DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3538,15-029689,20150208,ROCKCLIFFE DR btwn NEWCASTLE DR & BANFFSHIRE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3539,15-025273,20150203,ROSE GARDEN ST btwn WESTCHESTER DR & DENLOW ST,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3540,15-063663,20150327,ROSEMOUNT DR btwn ELKINGTON DR & BURLINGTON DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3541,15-012215,20150117,PEACH BLOSSOM CRES btwn DAVID BERGEY DR & PEACH BLOSSOM CRT,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3542,15-068527,20150402,PEQUEGNAT AVE btwn MANSION ST & FREDERICK ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3543,15-093366,20150414,SANDSPRINGS CRES btwn SANDSPRINGS CRT & SOUTHWOOD DR,99-Other,12-Off highway,03-Snow,01-Daylight,MIDBLOCK,
3544,15-079844,20150417,SCOTT ST btwn KING ST E & MARKET LANE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3545,15-004402,20150107,SENECA DR btwn LORNE CRES & LORNE CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3546,15-060045,20150319,NEWBURY DR btwn BURNABY CRES & ROLLING MEADOWS DR,99-Other,12-Off highway,01-Clear,"08-Dark, artificial",MIDBLOCK,
3547,15-091996,20150501,UPPER MERCER ST btwn FAIRWAY RD N & LOWER MERCER ST,99-Other,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
3548,15-004424,20150107,REDTAIL ST btwn KING RAIL CRT & CONDOR ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3549,14-271764,20141129,RIPPLEWOOD CRES btwn WARREN RD & CYPRUS DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3550,15-046616,20150304,SHADYRIDGE PL btwn WESTFOREST TRAIL & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
3551,15-116211,20150602,SHERWOOD AVE btwn BECKER ST & SMITHSON ST,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3552,14-274594,20141114,PRUETER AVE btwn ST LEGER ST & BOEHMER ST,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
3553,14-211026,20140915,QUEEN ST N btwn ELLEN ST W & ST LEGER ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3554,15-042582,20150227,FAIRWAY RD N btwn CHICOPEE PARK CRT & RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3555,15-058780,20150320,SPETZ ST btwn FREDERICK ST & SCOTT ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3556,14-240382,20141020,SPORTSWORLD DR btwn KING ST E & GATEWAY PARK DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3557,14-034162,20140214,LANCASTER ST W btwn HAMEL AVE & BRIDGEPORT RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3558,14-044895,20140228,HALLS LANE W btwn FRANCIS ST S & VICTORIA ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3559,14-055635,20140314,BELMONT LANE W btwn ROCK AVE & CLAREMONT AVE,01-Non intersection,10-Not on roadway - left side,01-Clear,"08-Dark, artificial",MIDBLOCK,
3560,14-063851,20140324,WOODBINE AVE btwn ROCHEFORT ST & MAITLAND ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3561,14-046751,20140302,BIEHN DR btwn MITTON PL & ROBERTSON CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3562,14-068424,20140330,PEBBLECREEK CRT btwn PEBBLECREEK DR & FEENSTRA ST,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3563,14-102112,20140510,BLEAMS RD btwn CENTURY HILL DR & STRASBURG RD,01-Non intersection,12-Off highway,01-Clear,"08-Dark, artificial",MIDBLOCK,
3564,14-048131,20140303,DINISON CRES btwn RISTAU CRES & RISTAU CRES,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
3565,14-046746,20140302,FALCONRIDGE DR btwn OWL RIDGE ST & KESTREL ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3566,14-052177,20140308,PARKVALE DR btwn WOODBINE AVE & PARKVALE CRT,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3567,14-034177,20140214,SOPHIA CRES btwn CORSICA ST & WOODBINE AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3568,14-037286,20140217,WYCLIFFE PL btwn HIGHLAND CRES & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
3569,14-024971,20140202,MCGARRY DR btwn PINEHURST CRES & PINEHURST CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3570,14-116684,20140526,EVENS POND CRES btwn ROBERT FERRIE DR & EVENS POND CRT,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3571,14-114580,20140524,PARKVALE CRT btwn PARKVALE DR & CUL DE SAC,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3572,14-079924,20140414,QUEENS BLVD btwn SPADINA RD E & QUEENS BLVD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3573,14-057703,20140316,GRAVEL RIDGE TRAIL btwn MAGDALENA CRT & MELINDA ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3574,14-080393,20140413,SHELDON AVE N btwn BRENTWOOD AVE & FAIRMOUNT RD,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
3575,14-078476,20140412,SIEBERT AVE btwn CLARK AVE & HARBER AVE,01-Non intersection,02-Thru lane,02-Rain,07-Dark,MIDBLOCK,
3576,14-088503,20140424,QUAISER ST btwn QUAISER CRT & GRAY ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3577,14-111081,20140521,MARGARET AVE btwn WELLINGTON ST N & LOUISA ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3578,14-106942,20140516,OTONABEE DR btwn BLEAMS RD & SASAGA DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3579,14-087719,20140421,DAIMLER DR btwn ROLLING ACRES DR & IDLE RIDGE CRT,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3580,14-089939,20140425,LENNOX CRES btwn STOKE DR & MEDFORD ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3581,14-113512,20140524,WABANAKI DR btwn HIDDEN VALLEY RD & FAIRWAY RD S,05-At railway crossing,11-Not on roadway - right side,01-Clear,07-Dark,MIDBLOCK,
3582,14-116447,20140526,FAIRFIELD AVE btwn CRESTWOOD AVE & FLOYD ST,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
3583,14-049389,20140305,WILFRED AVE btwn WEBER ST E & PROSPECT AVE,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
3584,14-090004,20140426,HALLS LANE W btwn ONTARIO ST S & GAUKEL ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3585,14-107069,20140515,EBYDALE DR btwn OLDFIELD DR & GRAY ST,04-At/near private drive,12-Off highway,02-Rain,01-Daylight,MIDBLOCK,
3586,14-076305,20140409,MORGAN AVE btwn BERWICK PL & RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3587,14-094938,20140502,DUKE ST W btwn COLLEGE ST & WATER ST N,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3588,14-076321,20140409,DUKE ST W btwn VICTORIA ST N & BREITHAUPT ST,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3589,14-069922,20140401,NOTTINGHAM AVE btwn MANCHESTER RD & OTTAWA ST N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3590,14-076222,20140409,EAGLECREST ST btwn KESTREL ST & FALCONRIDGE DR,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3591,12-283775,20121204,SIMEON ST btwn FORK IN ROAD & WEBER ST E,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
3592,14-256832,20141110,BORDEN AVE N btwn WEBER ST E & EAST AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3593,14-258715,20141112,VALEBROOK ST btwn VALEBROOK CRT & OLD ZELLER DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3594,14-246330,20141028,HOMER WATSON BLVD btwn DOON SOUTH DR & NEW DUNDEE RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3595,14-262265,20141117,CRAIG DR btwn HICKSON DR & YULE PL,06-Underpass or tunnel,11-Not on roadway - right side,03-Snow,"08-Dark, artificial",MIDBLOCK,
3596,14-260081,20141107,JANET CRT btwn ZELLER DR & CUL DE SAC,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
3597,14-258767,20141109,DOWNEY ST btwn EDWIN ST & OXFORD ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3598,14-234430,20141013,WOODBINE AVE btwn BRITTANIA CRES & PARKVALE DR,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
3599,14-255394,20141107,QUEEN ST S btwn CHARLES ST W & CHURCH ST,04-At/near private drive,02-Thru lane,01-Clear,05-Dusk,MIDBLOCK,
3600,15-093689,20150427,KINGSWAY DR btwn FRANKLIN ST S & EIGHTH AVE,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
3601,15-019138,20150126,MAITLAND ST btwn MADELEINE ST & MACHADO ST,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3602,15-003912,20150105,MAJOR ST btwn BREITHAUPT ST & WELLINGTON ST N,04-At/near private drive,02-Thru lane,03-Snow,"08-Dark, artificial",MIDBLOCK,
3603,15-051858,20150311,BORDEN PKY btwn MILL ST & PATTANDON AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3604,14-164360,20140719,WILDERNESS DR btwn GREY FOX DR & WATERWILLOW CRT,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
3605,14-119746,20140528,CECILE DR btwn QUEENS BLVD & OVERLEA DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3606,14-181833,20140812,DUKE ST W btwn BREITHAUPT ST & WELLINGTON ST N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3607,14-204221,20140907,MARKETA CRES btwn MATTHEW ST & SMETANA DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3608,14-086908,20140422,ROBERT FERRIE DR btwn SOUTHRIDGE DR & TOPPER WOODS CRES,01-Non intersection,02-Thru lane,01-Clear,05-Dusk,MIDBLOCK,
3609,14-129241,20140601,MONARCH WOODS DR btwn MOSSGROVE DR & END,98-Other,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
3610,14-145165,20140628,MARKET LANE btwn SCOTT ST & MOYER PL,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3611,14-116627,20140527,KINGSWOOD DR btwn GRACEFIELD CRES & GRACEFIELD CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3612,14-151107,20140705,RAYMOND RD btwn WEBER ST E & BRENTWOOD AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
3613,14-156049,20140711,DUKE ST E btwn EBY ST N & CEDAR ST N,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
